UNI-T;OWON
260;0,391
259;0,390
259;0,389
259;0,388
259;0,388
259;0,389
259;0,389
259;0,390
259;0,391
300;0,448
300;0,447
300;0,447
299;0,447
300;0,447
300;0,447
300;0,448
300;0,447
300;0,448
360;0,530
360;0,531
360;0,530
360;0,529
360;0,528
360;0,528
360;0,529
360;0,530
360;0,528
380;0,556
380;0,555
380;0,555
381;0,556
381;0,556
381;0,556
381;0,556
381;0,556
381;0,556
405;0,591
406;0,591
406;0,592
406;0,591
407;0,591
407;0,591
407;0,591
407;0,591
407;0,591
445;0,645
445;0,645
445;0,648
445;0,648
445;0,645
445;0,645
445;0,648
445;0,648
445;0,648
